track_id,track_name,artist_name,artist_genres,album_name,track_popularity,explicit,track_duration_min,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Avicii,edm,Stories,81,False,3.84,0.579,0.736,-3.863,0.0527,0.31,0.0,0.198,0.613,127.999
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Avicii,edm,Stories,81,False,3.84,0.579,0.736,-3.863,0.0527,0.31,0.0,0.198,0.613,127.999
5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),Robin Schulz,tropical house,Sugar,79,False,3.65,0.636,0.815,-5.098,0.0581,0.0185,0.0,0.163,0.636,123.063
5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),Robin Schulz,tropical house,Sugar,79,False,3.65,0.636,0.815,-5.098,0.0581,0.0185,0.0,0.163,0.636,123.063
3zU9rdflI65tK4dkkNSp77,Heroes (we could be),Alesso,edm,Forever,73,False,3.5,0.503,0.748,-4.124,0.0619,0.0305,0.0,0.343,0.356,125.896
3zU9rdflI65tK4dkkNSp77,Heroes (we could be),Alesso,edm,Forever,73,False,3.5,0.503,0.748,-4.124,0.0619,0.0305,0.0,0.343,0.356,125.896
0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,Ariana Grande,pop,Santa Tell Me,74,False,3.4,0.525,0.621,-7.364,0.117,0.0489,0.0,0.291,0.592,191.868
285HeuLxsngjFn4GGegGNm,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,edm,Listen,73,False,3.2,0.596,0.73,-4.091,0.151,0.24,0.0,0.325,0.525,85.979
07nH4ifBxUB4lZcsf44Brn,Blame (feat. John Newman),Calvin Harris,edm,Motion,80,False,3.54,0.414,0.857,-4.078,0.0808,0.0287,0.00574,0.343,0.348,128.024
07nH4ifBxUB4lZcsf44Brn,Blame (feat. John Newman),Calvin Harris,edm,Motion,80,False,3.54,0.414,0.857,-4.078,0.0808,0.0287,0.00574,0.343,0.348,128.024
6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,edm,Motion,82,False,3.7,0.596,0.856,-3.556,0.0346,0.0211,0.0178,0.141,0.743,127.949
6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,edm,Motion,82,False,3.7,0.596,0.856,-3.556,0.0346,0.0211,0.0178,0.141,0.743,127.949
6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,edm,Motion,82,False,3.7,0.596,0.856,-3.556,0.0346,0.0211,0.0178,0.141,0.743,127.949
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),Calvin Harris,edm,Motion,85,False,3.78,0.646,0.823,-4.123,0.0394,0.213,0.0,0.322,0.418,128.035
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),Calvin Harris,edm,Motion,85,False,3.78,0.646,0.823,-4.123,0.0394,0.213,0.0,0.322,0.418,128.035
2iuZJX9X9P0GKaE93xcPjk,Sugar,Maroon 5,pop,V,80,True,3.92,0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076
4gbVRS8gloEluzf0GzDOFc,Maps,Maroon 5,pop,V,84,False,3.16,0.742,0.713,-5.522,0.0303,0.0205,0.0,0.059,0.879,120.032
12KUFSHFgT0XCoiSlvdQi4,Break Free,Ariana Grande,pop,My Everything (Deluxe),80,False,3.58,0.686,0.702,-5.325,0.0455,0.00637,4.46e-05,0.204,0.29,129.948
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,soft pop,x (Deluxe Edition),86,False,4.31,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,soft pop,x (Deluxe Edition),84,False,4.69,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,"country, pop, indie, folk",1989 (Deluxe),80,False,3.65,0.647,0.8,-5.384,0.165,0.0647,0.0,0.334,0.942,160.078
6nGeLlakfzlBcFdZXteDq7,Love Story,Indila,french pop,Mini World,77,False,5.27,0.375,0.255,-12.279,0.0377,0.815,0.0,0.0845,0.331,95.978
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,edm,The Days / Nights,83,False,2.94,0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,edm,The Days / Nights,83,False,2.94,0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983
1NZs6n6hl8UuMaX0UC0YTz,Brooklyn Baby,Lana Del Rey,"alternative pop, indie pop",Ultraviolence (Deluxe),82,True,5.86,0.404,0.664,-6.698,0.0407,0.542,0.00402,0.11,0.0949,107.747
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,OneRepublic,soft pop,Native,73,False,4.29,0.663,0.706,-4.972,0.0383,0.0654,0.0,0.115,0.474,122.013
65uoaqX5qcjXZRheAj1qQT,Dernière danse,Indila,french pop,Mini World,79,False,3.55,0.669,0.449,-7.658,0.049,0.184,0.0,0.0729,0.327,114.924
2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,Miley Cyrus,"country pop, rock, hip hop, experimental",Bangerz (Deluxe Version),80,False,3.68,0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,edm,True,85,False,4.12,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08
